Season,Games,Wins,Wins_g,Top10s,Top10s_g,Damage,Damage_g,Kills,Kills_g,Headshots,Headshots_g,Assists,Assists_g,Most_Kills,Most_Kills_g,Distance,Distance_g
s.16,76,6,0.07894736842105263,6,0.07894736842105263,41106.707,540.8777236842105,355,4.671052631578948,105,1.381578947368421,0,0.0,18,0.0,135920.33,1788.425394736842
s.15,24,4,0.16666666666666666,4,0.16666666666666666,20543.031,855.959625,193,8.041666666666666,54,2.25,0,0.0,19,0.0,60278.97,2511.62375
s.13,14,1,0.07142857142857142,1,0.07142857142857142,10892.958,778.0684285714286,92,6.571428571428571,34,2.4285714285714284,0,0.0,16,0.0,34335.14,2452.5099999999998
s.12,59,5,0.0847457627118644,5,0.0847457627118644,33538.574,568.4504067796611,300,5.084745762711864,88,1.4915254237288136,0,0.0,19,0.0,96314.945,1632.4566949152543
s.11,19,1,0.05263157894736842,1,0.05263157894736842,14995.145,789.2181578947369,131,6.894736842105263,37,1.9473684210526316,0,0.0,17,0.0,38173.324,2009.1223157894738
s.08,8,1,0.125,1,0.125,3765.165,470.645625,34,4.25,13,1.625,2,0.25,20,0.25,0.0,0.0
