Season,Games,Wins,Wins_g,Top10s,Top10s_g,Damage,Damage_g,Kills,Kills_g,Headshots,Headshots_g,Assists,Assists_g,Most_Kills,Most_Kills_g,Distance,Distance_g
s.22,23,2,0.08695652173913043,2,0.08695652173913043,12787.742,555.9887826086957,95,4.130434782608695,27,1.173913043478261,0,0.0,13,0.0,35144.383,1528.0166521739131
s.21,119,17,0.14285714285714285,17,0.14285714285714285,61592.363,517.5828823529412,479,4.025210084033613,160,1.3445378151260505,0,0.0,16,0.0,182536.14,1533.917142857143
s.20,57,8,0.14035087719298245,8,0.14035087719298245,25752.594,451.79989473684213,207,3.6315789473684212,53,0.9298245614035088,0,0.0,18,0.0,44068.96,773.139649122807
s.19,57,9,0.15789473684210525,9,0.15789473684210525,30097.115,528.0195614035088,240,4.2105263157894735,84,1.4736842105263157,0,0.0,13,0.0,104459.73,1832.626842105263
s.18,53,5,0.09433962264150944,5,0.09433962264150944,30865.42,582.3664150943396,258,4.867924528301887,103,1.9433962264150944,0,0.0,19,0.0,82612.13,1558.7194339622642
s.17,127,14,0.11023622047244094,14,0.11023622047244094,69762.96,549.3146456692914,565,4.448818897637795,199,1.5669291338582678,0,0.0,18,0.0,183653.19,1446.0881102362205
