Season,Games,Wins,Wins_g,Top10s,Top10s_g,Damage,Damage_g,Kills,Kills_g,Headshots,Headshots_g,Assists,Assists_g,Most_Kills,Most_Kills_g,Distance,Distance_g
s.21,295,52,0.17627118644067796,52,0.17627118644067796,203194.17,688.7937966101696,1657,5.6169491525423725,447,1.5152542372881357,369,1.2508474576271187,21,1.2508474576271187,544438.44,1845.5540338983049
s.20,458,75,0.16375545851528384,75,0.16375545851528384,322811.56,704.8287336244541,2556,5.580786026200873,761,1.6615720524017468,538,1.1746724890829694,21,1.1746724890829694,921303.06,2011.5787336244543
s.19,639,117,0.18309859154929578,117,0.18309859154929578,488944.06,765.1706729264475,4166,6.519561815336464,1267,1.9827856025039123,741,1.15962441314554,22,1.15962441314554,1791586.5,2803.7347417840374
s.18,780,152,0.19487179487179487,152,0.19487179487179487,574283.75,736.2612179487179,4898,6.279487179487179,1436,1.841025641025641,937,1.2012820512820512,23,1.2012820512820512,1516950.8,1944.808717948718
s.17,570,118,0.20701754385964913,118,0.20701754385964913,431483.7,756.9889473684211,3561,6.247368421052632,1060,1.8596491228070176,777,1.3631578947368421,21,1.3631578947368421,1269652.4,2227.460350877193
s.16,492,95,0.19308943089430894,95,0.19308943089430894,373469.56,759.0844715447155,3162,6.426829268292683,930,1.8902439024390243,566,1.1504065040650406,27,1.1504065040650406,1080473.0,2196.0833333333335
