Season,Games,Wins,Wins_g,Top10s,Top10s_g,Damage,Damage_g,Kills,Kills_g,Headshots,Headshots_g,Assists,Assists_g,Most_Kills,Most_Kills_g,Distance,Distance_g
s.22,97,3,0.030927835051546393,3,0.030927835051546393,37406.71,385.6361855670103,304,3.134020618556701,104,1.0721649484536082,0,0.0,12,0.0,364914.94,3762.0096907216493
s.21,385,31,0.08051948051948052,31,0.08051948051948052,160972.3,418.1098701298701,1403,3.6441558441558444,387,1.0051948051948052,0,0.0,22,0.0,1129209.9,2933.012727272727
s.20,344,24,0.06976744186046512,24,0.06976744186046512,153791.75,447.06904069767444,1258,3.6569767441860463,350,1.0174418604651163,0,0.0,16,0.0,914254.3,2657.7159883720933
s.19,350,31,0.08857142857142856,31,0.08857142857142856,164103.88,468.8682285714286,1348,3.8514285714285714,412,1.177142857142857,0,0.0,18,0.0,1155607.6,3301.7360000000003
s.18,362,29,0.08011049723756906,29,0.08011049723756906,162080.67,447.73665745856357,1384,3.8232044198895028,411,1.1353591160220995,0,0.0,20,0.0,748970.06,2068.9780662983426
s.17,362,40,0.11049723756906077,40,0.11049723756906077,188609.61,521.0210220994475,1636,4.519337016574585,486,1.3425414364640884,0,0.0,27,0.0,892266.0,2464.8232044198894
