Season,Games,Wins,Wins_g,Top10s,Top10s_g,Damage,Damage_g,Kills,Kills_g,Headshots,Headshots_g,Assists,Assists_g,Most_Kills,Most_Kills_g,Distance,Distance_g
s.16,14,1,0.07142857142857142,1,0.07142857142857142,9375.586,669.6847142857142,94,6.714285714285714,28,2.0,12,0.8571428571428571,16,0.8571428571428571,31922.443,2280.1745
s.15,23,4,0.17391304347826086,4,0.17391304347826086,17843.15,775.7891304347827,166,7.217391304347826,41,1.7826086956521738,31,1.3478260869565217,16,1.3478260869565217,57239.293,2488.664913043478
s.12,19,1,0.05263157894736842,1,0.05263157894736842,13210.472,695.288,109,5.7368421052631575,34,1.7894736842105263,23,1.2105263157894737,21,1.2105263157894737,44526.87,2343.519473684211
s.06,222,33,0.14864864864864866,33,0.14864864864864866,108794.555,490.06556306306305,943,4.247747747747748,251,1.1306306306306306,234,1.054054054054054,18,1.054054054054054,205640.55,926.3087837837837
s.05,183,26,0.14207650273224043,26,0.14207650273224043,99378.7,543.0530054644809,863,4.715846994535519,221,1.2076502732240437,204,1.1147540983606556,16,1.1147540983606556,231535.03,1265.218743169399
s.04,622,100,0.1607717041800643,100,0.1607717041800643,398397.97,640.5112057877813,3490,5.610932475884244,935,1.5032154340836013,807,1.297427652733119,21,1.297427652733119,1191292.1,1915.260610932476
