Season,Games,Wins,Wins_g,Top10s,Top10s_g,Damage,Damage_g,Kills,Kills_g,Headshots,Headshots_g,Assists,Assists_g,Most_Kills,Most_Kills_g,Distance,Distance_g
s.21,34,5,0.14705882352941177,5,0.14705882352941177,15201.802,447.11182352941177,117,3.4411764705882355,19,0.5588235294117647,24,0.7058823529411765,10,0.7058823529411765,77212.41,2270.953235294118
s.20,9,1,0.1111111111111111,1,0.1111111111111111,5016.872,557.4302222222223,42,4.666666666666667,11,1.2222222222222223,6,0.6666666666666666,14,0.6666666666666666,18141.654,2015.7393333333332
s.19,39,7,0.1794871794871795,7,0.1794871794871795,22379.068,573.8222564102564,182,4.666666666666667,43,1.1025641025641026,36,0.9230769230769231,13,0.9230769230769231,120578.086,3091.7457948717947
s.18,42,4,0.09523809523809523,4,0.09523809523809523,16901.29,402.4116666666667,127,3.0238095238095237,33,0.7857142857142857,8,0.19047619047619047,17,0.19047619047619047,99541.13,2370.026904761905
s.13,12,5,0.4166666666666667,5,0.4166666666666667,6459.268,538.2723333333333,48,4.0,13,1.0833333333333333,14,1.1666666666666667,11,1.1666666666666667,26870.758,2239.2298333333333
s.12,23,4,0.17391304347826086,4,0.17391304347826086,9165.181,398.48613043478264,74,3.217391304347826,20,0.8695652173913043,21,0.9130434782608695,11,0.9130434782608695,37658.137,1637.310304347826
