Season,Games,Wins,Wins_g,Top10s,Top10s_g,Damage,Damage_g,Kills,Kills_g,Headshots,Headshots_g,Assists,Assists_g,Most_Kills,Most_Kills_g,Distance,Distance_g
s.21,428,41,0.09579439252336448,41,0.09579439252336448,198666.11,464.17315420560743,1726,4.0327102803738315,508,1.1869158878504673,401,0.9369158878504673,21,0.9369158878504673,744931.25,1740.493574766355
s.20,464,44,0.09482758620689655,44,0.09482758620689655,236543.89,509.7928663793104,2001,4.3125,594,1.2801724137931034,490,1.0560344827586208,19,1.0560344827586208,885069.75,1907.4779094827586
s.19,565,58,0.10265486725663717,58,0.10265486725663717,300796.34,532.3829026548673,2586,4.576991150442478,711,1.2584070796460176,602,1.0654867256637168,24,1.0654867256637168,1158268.4,2050.0325663716812
s.18,698,82,0.1174785100286533,82,0.1174785100286533,373468.84,535.0556446991404,3212,4.6017191977077365,844,1.2091690544412608,757,1.0845272206303724,23,1.0845272206303724,1391355.8,1993.346418338109
s.17,590,73,0.12372881355932204,73,0.12372881355932204,332583.84,563.7014237288136,3005,5.093220338983051,870,1.4745762711864407,572,0.9694915254237289,22,0.9694915254237289,1192218.5,2020.7093220338984
s.16,497,49,0.09859154929577464,49,0.09859154929577464,258836.47,520.7977263581489,2205,4.436619718309859,578,1.1629778672032194,505,1.0160965794768613,21,1.0160965794768613,987423.5,1986.7676056338028
