Season,Games,Wins,Wins_g,Top10s,Top10s_g,Damage,Damage_g,Kills,Kills_g,Headshots,Headshots_g,Assists,Assists_g,Most_Kills,Most_Kills_g,Distance,Distance_g
s.16,5,0,0.0,0,0.0,748.5084,149.70168,5,1.0,3,0.6,0,0.0,2,0.0,5088.369,1017.6737999999999
s.13,7,0,0.0,0,0.0,2988.78,426.96857142857147,28,4.0,4,0.5714285714285714,0,0.0,13,0.0,23911.078,3415.868285714286
s.12,92,4,0.043478260869565216,4,0.043478260869565216,22742.691,247.20316304347824,172,1.8695652173913044,60,0.6521739130434783,0,0.0,9,0.0,187000.62,2032.6154347826086
s.10,40,1,0.025,1,0.025,10695.3125,267.3828125,81,2.025,24,0.6,0,0.0,7,0.0,73120.07,1828.0017500000001
s.07,65,4,0.06153846153846154,4,0.06153846153846154,19700.588,303.08596923076925,147,2.2615384615384615,64,0.9846153846153847,12,0.18461538461538463,9,0.18461538461538463,218051.27,3354.634923076923
s.06,89,4,0.0449438202247191,4,0.0449438202247191,26724.12,300.27101123595503,206,2.3146067415730336,78,0.8764044943820225,14,0.15730337078651685,9,0.15730337078651685,322148.47,3619.6457303370785
