Season,Games,Wins,Wins_g,Top10s,Top10s_g,Damage,Damage_g,Kills,Kills_g,Headshots,Headshots_g,Assists,Assists_g,Most_Kills,Most_Kills_g,Distance,Distance_g
s.21,50,6,0.12,6,0.12,30478.742,609.57484,252,5.04,105,2.1,0,0.0,17,0.0,49127.938,982.55876
s.20,85,9,0.10588235294117647,9,0.10588235294117647,56139.883,660.4692117647058,464,5.458823529411765,169,1.988235294117647,0,0.0,19,0.0,92389.84,1086.939294117647
s.19,104,15,0.14423076923076922,15,0.14423076923076922,73689.69,708.5547115384616,651,6.259615384615385,240,2.3076923076923075,0,0.0,22,0.0,252097.89,2424.018173076923
s.18,84,6,0.07142857142857142,6,0.07142857142857142,51057.355,607.8256547619048,447,5.321428571428571,162,1.9285714285714286,0,0.0,24,0.0,118677.766,1412.8305476190476
s.17,55,5,0.09090909090909091,5,0.09090909090909091,34980.41,636.0074545454546,310,5.636363636363637,98,1.7818181818181817,0,0.0,20,0.0,92605.016,1683.7275636363636
s.15,9,2,0.2222222222222222,2,0.2222222222222222,7455.407,828.3785555555555,66,7.333333333333333,22,2.4444444444444446,0,0.0,16,0.0,29684.582,3298.286888888889
