Season,Games,Wins,Wins_g,Top10s,Top10s_g,Damage,Damage_g,Kills,Kills_g,Headshots,Headshots_g,Assists,Assists_g,Most_Kills,Most_Kills_g,Distance,Distance_g
s.21,34,1,0.029411764705882353,1,0.029411764705882353,12778.6,375.84117647058827,103,3.0294117647058822,28,0.8235294117647058,0,0.0,11,0.0,167625.88,4930.172941176471
s.19,7,0,0.0,0,0.0,4969.157,709.8795714285715,51,7.285714285714286,15,2.142857142857143,0,0.0,19,0.0,81399.75,11628.535714285714
s.18,19,2,0.10526315789473684,2,0.10526315789473684,8632.767,454.35615789473684,75,3.9473684210526314,20,1.0526315789473684,0,0.0,15,0.0,52414.33,2758.648947368421
s.16,7,0,0.0,0,0.0,2014.9204,287.8457714285714,21,3.0,5,0.7142857142857143,0,0.0,8,0.0,22085.24,3155.034285714286
s.15,5,0,0.0,0,0.0,2136.5815,427.31629999999996,19,3.8,4,0.8,0,0.0,12,0.0,19626.074,3925.2148
s.14,35,1,0.02857142857142857,1,0.02857142857142857,13897.122,397.06062857142854,116,3.3142857142857145,27,0.7714285714285715,0,0.0,14,0.0,81031.42,2315.1834285714285
